iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.204373,1.0025,0.189908,1.0000
200,51200,256,0.218930,1.0002,0.207609,1.0000
300,76800,256,0.246382,1.0001,0.215183,1.0000
400,102400,256,0.283737,1.0000,0.210616,1.0000
500,128000,256,0.319692,1.0000,0.213372,1.0000
600,153600,256,0.293634,1.0000,0.263865,1.0000
700,179200,256,0.301995,1.0000,0.221805,1.0000
800,204800,256,0.281046,1.0000,0.243553,1.0000
900,230400,256,0.307501,1.0000,0.226558,1.0000
1000,256000,256,0.312044,1.0000,0.241714,1.0000
1100,281600,256,0.296545,1.0000,0.221123,1.0000
1200,307200,256,0.288895,1.0000,0.249095,1.0000
1300,332800,256,0.306901,1.0000,0.374003,1.0000
1400,358400,256,0.298388,1.0000,0.270194,1.0000
1500,384000,256,0.312757,1.0000,0.361901,1.0000
1600,409600,256,0.296622,1.0000,0.352485,1.0000
1700,435200,256,0.286181,1.0000,0.379136,1.0000
1800,460800,256,0.324025,1.0000,0.381062,1.0000
1900,486400,256,0.290152,1.0000,0.336687,1.0000
2000,512000,256,0.314316,1.0000,0.271104,1.0000
2100,537600,256,0.324002,1.0000,0.369893,1.0000
2200,563200,256,0.319419,1.0000,0.350235,1.0000
2300,588800,256,0.342044,1.0000,0.302334,1.0000
2400,614400,256,0.344565,1.0000,0.333163,1.0000
2500,640000,256,0.331834,1.0000,0.388003,1.0000
2600,665600,256,0.342379,1.0000,0.343656,1.0000
2700,691200,256,0.362212,1.0000,0.388694,1.0000
2800,716800,256,0.384455,1.0000,0.517974,1.0000
2900,742400,256,0.384848,1.0000,0.500826,1.0000
3000,768000,256,0.389819,1.0000,0.513993,1.0000
3100,793600,256,0.383203,1.0000,0.527838,1.0000
3200,819200,256,0.381185,1.0005,0.383276,1.0000
3300,844800,256,0.394207,1.0000,0.417505,1.0000
3400,870400,256,0.381350,1.0000,0.384949,1.0000
3500,896000,256,0.403017,1.0000,0.400179,1.0000
3600,921600,256,0.385588,1.0000,0.390920,1.0000
3700,947200,256,0.414888,1.0000,0.387856,1.0000
3800,972800,256,0.396138,1.0000,0.371011,1.0000
3900,998400,256,0.411157,1.0000,0.477438,1.0000
4000,1024000,256,0.409750,1.0000,0.513130,1.0000
4100,1049600,256,0.394163,1.0000,0.511445,1.0000
4200,1075200,256,0.397430,1.0000,0.426779,1.0000
4300,1100800,256,0.419118,1.0000,0.513941,1.0000
4400,1126400,256,0.433471,1.0000,0.506323,1.0000
4500,1152000,256,0.420199,1.0000,0.417455,1.0000
4600,1177600,256,0.417211,1.0000,0.472846,1.0000
4700,1203200,256,0.417244,1.0000,0.443841,1.0000
4800,1228800,256,0.403817,1.0000,0.516456,1.0000
4900,1254400,256,0.420579,1.0000,0.522749,1.0000
5000,1280000,256,0.431705,1.0000,0.458339,1.0000
5100,1305600,256,0.414156,1.0000,0.396193,1.0000
5200,1331200,256,0.426453,1.0000,0.485420,1.0000
5300,1356800,256,0.418071,1.0000,0.400074,1.0000
5400,1382400,256,0.421395,1.0000,0.518221,1.0000
5500,1408000,256,0.417419,1.0000,0.450921,1.0000
5600,1433600,256,0.408725,1.0000,0.389652,1.0000
5700,1459200,256,0.436576,1.0000,0.375994,1.0000
5800,1484800,256,0.432032,1.0000,0.506328,1.0000
5900,1510400,256,0.423280,1.0000,0.524444,1.0000
6000,1536000,256,0.424452,1.0000,0.522836,1.0000
6100,1561600,256,0.423044,1.0000,0.522714,1.0000
6200,1587200,256,0.426034,1.0000,0.407296,1.0000
6300,1612800,256,0.427775,1.0000,0.525113,1.0000
6400,1638400,256,0.405677,1.0000,0.447256,1.0000
6500,1664000,256,0.429623,1.0000,0.494162,1.0000
6600,1689600,256,0.440342,1.0000,0.506136,1.0000
6700,1715200,256,0.414994,1.0000,0.399591,1.0000
6800,1740800,256,0.435618,1.0000,0.390870,1.0000
6900,1766400,256,0.443033,1.0000,0.391573,1.0000
7000,1792000,256,0.421609,1.0000,0.463409,1.0000
7100,1817600,256,0.431036,1.0000,0.510801,1.0000
7200,1843200,256,0.419893,1.0000,0.522707,1.0000
7300,1868800,256,0.431243,1.0000,0.522742,1.0000
7400,1894400,256,0.438164,1.0000,0.509716,1.0000
7500,1920000,256,0.436064,1.0000,0.529006,1.0000
7600,1945600,256,0.423055,1.0000,0.523549,1.0000
7700,1971200,256,0.442625,1.0000,0.529431,1.0000
7800,1996800,256,0.436813,1.0000,0.503106,1.0000
7900,2022400,256,0.438836,1.0000,0.406989,1.0000
8000,2048000,256,0.424395,1.0000,0.525375,1.0000
8100,2073600,256,0.435537,1.0000,0.395695,1.0000
