iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.146531,16.0000,0.020616,16.0000
200,51200,256,0.276592,16.0000,0.036384,16.0000
300,76800,256,0.585826,16.0000,0.118290,16.0000
400,102400,256,0.695710,16.0000,0.149329,16.0000
500,128000,256,0.716844,16.0000,0.157484,16.0000
600,153600,256,0.733845,16.0000,0.156163,16.0000
700,179200,256,0.735270,16.0000,0.152106,16.0000
800,204800,256,0.762161,16.0000,0.151920,16.0000
900,230400,256,0.766307,16.0000,0.161777,16.0000
1000,256000,256,0.765017,16.0000,0.143556,16.0000
1100,281600,256,0.770160,16.0000,0.151614,16.0000
1200,307200,256,0.781893,16.0000,0.148982,16.0000
1300,332800,256,0.773657,16.0000,0.154301,16.0000
1400,358400,256,0.777961,16.0000,0.148430,16.0000
1500,384000,256,0.371346,16.0000,0.238907,16.0000
1600,409600,256,0.397450,16.0000,0.254865,16.0000
1700,435200,256,0.394062,16.0000,0.232998,16.0000
1800,460800,256,0.408821,16.0000,0.249794,16.0000
1900,486400,256,0.387983,16.0000,0.265695,16.0000
2000,512000,256,0.406875,16.0000,0.262422,16.0000
2100,537600,256,0.401691,16.0000,0.267269,16.0000
2200,563200,256,0.404530,16.0000,0.261889,16.0000
2300,588800,256,0.414153,16.0000,0.269465,16.0000
2400,614400,256,0.393944,16.0000,0.272226,16.0000
2500,640000,256,0.412831,16.0000,0.261949,16.0000
2600,665600,256,0.393888,16.0000,0.279984,16.0000
2700,691200,256,0.390511,16.0000,0.267481,16.0000
2800,716800,256,0.393025,16.0000,0.248366,16.0000
2900,742400,256,0.427698,16.0000,0.255552,16.0000
3000,768000,256,0.414183,16.0000,0.261996,16.0000
3100,793600,256,0.435631,16.0000,0.260518,16.0000
3200,819200,256,0.417819,16.0000,0.252745,16.0000
3300,844800,256,0.424668,16.0000,0.265049,16.0000
3400,870400,256,0.425969,16.0000,0.271074,16.0000
3500,896000,256,0.413731,16.0000,0.275857,16.0000
3600,921600,256,0.420792,16.0000,0.276058,16.0000
3700,947200,256,0.416949,16.0000,0.273712,16.0000
3800,972800,256,0.435318,16.0000,0.283367,16.0000
3900,998400,256,0.433604,16.0000,0.277221,16.0000
4000,1024000,256,0.435609,16.0000,0.284266,16.0000
4100,1049600,256,0.419690,16.0000,0.274194,16.0000
4200,1075200,256,0.429421,16.0000,0.276229,16.0000
4300,1100800,256,0.342805,16.0000,0.296361,16.0000
4400,1126400,256,0.329653,16.0000,0.310454,16.0000
4500,1152000,256,0.338520,16.0000,0.314132,16.0000
4600,1177600,256,0.342369,16.0000,0.297242,16.0000
4700,1203200,256,0.327584,16.0000,0.300572,16.0000
4800,1228800,256,0.346519,16.0000,0.309012,16.0000
4900,1254400,256,0.332943,16.0000,0.306967,16.0000
5000,1280000,256,0.341765,16.0000,0.294481,16.0000
5100,1305600,256,0.341958,16.0000,0.313299,16.0000
5200,1331200,256,0.336377,16.0000,0.294076,16.0000
5300,1356800,256,0.354364,16.0000,0.304125,16.0000
5400,1382400,256,0.339550,16.0000,0.314912,16.0000
5500,1408000,256,0.342030,16.0000,0.306771,16.0000
5600,1433600,256,0.360972,16.0000,0.303753,16.0000
5700,1459200,256,0.350866,16.0000,0.292646,16.0000
5800,1484800,256,0.341366,16.0000,0.327221,16.0000
5900,1510400,256,0.349827,16.0000,0.300967,16.0000
6000,1536000,256,0.339720,16.0000,0.297043,16.0000
6100,1561600,256,0.361663,16.0000,0.313971,16.0000
6200,1587200,256,0.353885,16.0000,0.302488,16.0000
6300,1612800,256,0.356647,16.0000,0.323853,16.0000
6400,1638400,256,0.351357,16.0000,0.307121,16.0000
6500,1664000,256,0.349717,16.0000,0.303828,16.0000
6600,1689600,256,0.353348,16.0000,0.327383,16.0000
6700,1715200,256,0.357209,16.0000,0.325471,16.0000
6800,1740800,256,0.354763,16.0000,0.308791,16.0000
6900,1766400,256,0.363652,16.0000,0.323969,16.0000
7000,1792000,256,0.361868,16.0000,0.337466,16.0000
7100,1817600,256,0.338230,16.0000,0.302969,16.0000
7200,1843200,256,0.324263,16.0000,0.318598,16.0000
7300,1868800,256,0.336750,16.0000,0.321483,16.0000
7400,1894400,256,0.330185,16.0000,0.327941,16.0000
7500,1920000,256,0.325886,16.0000,0.333097,16.0000
7600,1945600,256,0.332846,16.0000,0.300528,16.0000
7700,1971200,256,0.326244,16.0000,0.319858,16.0000
7800,1996800,256,0.328776,16.0000,0.318436,16.0000
7900,2022400,256,0.335491,16.0000,0.333554,16.0000
8000,2048000,256,0.332686,16.0000,0.336641,16.0000
8100,2073600,256,0.345677,16.0000,0.337343,16.0000
8200,2099200,256,0.326612,16.0000,0.328901,16.0000
8300,2124800,256,0.342351,16.0000,0.348751,16.0000
8400,2150400,256,0.326909,16.0000,0.333552,16.0000
8500,2176000,256,0.325487,16.0000,0.342510,16.0000
8600,2201600,256,0.341893,16.0000,0.324364,16.0000
8700,2227200,256,0.337115,16.0000,0.364799,16.0000
8800,2252800,256,0.341374,16.0000,0.341093,16.0000
8900,2278400,256,0.334637,16.0000,0.336734,16.0000
9000,2304000,256,0.335615,16.0000,0.323779,16.0000
9100,2329600,256,0.344753,16.0000,0.346287,16.0000
9200,2355200,256,0.329783,16.0000,0.355532,16.0000
9300,2380800,256,0.326851,16.0000,0.355669,16.0000
9400,2406400,256,0.338705,16.0000,0.328900,16.0000
9500,2432000,256,0.331154,16.0000,0.341673,16.0000
9600,2457600,256,0.329553,16.0000,0.356827,16.0000
9700,2483200,256,0.344099,16.0000,0.346470,16.0000
9800,2508800,256,0.349687,16.0000,0.336603,16.0000
9900,2534400,256,0.325875,16.0000,0.328148,16.0000
10000,2560000,256,0.324538,16.0000,0.352630,16.0000
10100,2585600,256,0.334852,16.0000,0.344563,16.0000
10200,2611200,256,0.335357,16.0000,0.340354,16.0000
10300,2636800,256,0.331978,16.0000,0.340122,16.0000
10400,2662400,256,0.339675,16.0000,0.336911,16.0000
10500,2688000,256,0.340924,16.0000,0.344668,16.0000
10600,2713600,256,0.335956,16.0000,0.333326,16.0000
10700,2739200,256,0.334464,16.0000,0.340644,16.0000
10800,2764800,256,0.336844,16.0000,0.340787,16.0000
10900,2790400,256,0.331757,16.0000,0.369760,16.0000
11000,2816000,256,0.338947,16.0000,0.381689,16.0000
11100,2841600,256,0.344948,16.0000,0.359994,16.0000
11200,2867200,256,0.350097,16.0000,0.377777,16.0000
11300,2892800,256,0.343620,16.0000,0.379951,16.0000
11400,2918400,256,0.337652,16.0000,0.367038,16.0000
11500,2944000,256,0.335251,16.0000,0.358740,16.0000
11600,2969600,256,0.339722,16.0000,0.361748,16.0000
11700,2995200,256,0.346979,16.0000,0.372916,16.0000
11800,3020800,256,0.351436,16.0000,0.381147,16.0000
11900,3046400,256,0.332304,16.0000,0.388214,16.0000
12000,3072000,256,0.340804,16.0000,0.361394,16.0000
12100,3097600,256,0.347756,16.0000,0.350067,16.0000
12200,3123200,256,0.349332,16.0000,0.375645,16.0000
12300,3148800,256,0.341806,16.0000,0.362269,16.0000
12400,3174400,256,0.334143,16.0000,0.366827,16.0000
12500,3200000,256,0.345450,16.0000,0.357267,16.0000
12600,3225600,256,0.342310,16.0000,0.347304,16.0000
12700,3251200,256,0.338983,16.0000,0.363804,16.0000
12800,3276800,256,0.337560,16.0000,0.373041,16.0000
12900,3302400,256,0.344131,16.0000,0.360957,16.0000
13000,3328000,256,0.343819,16.0000,0.378973,16.0000
13100,3353600,256,0.341229,16.0000,0.385421,16.0000
13200,3379200,256,0.339314,16.0000,0.378426,16.0000
13300,3404800,256,0.347434,16.0000,0.385970,16.0000
13400,3430400,256,0.345675,16.0000,0.372739,16.0000
13500,3456000,256,0.337708,16.0000,0.347956,16.0000
13600,3481600,256,0.351910,16.0000,0.372078,16.0000
13700,3507200,256,0.350495,16.0000,0.378852,16.0000
13800,3532800,256,0.334995,16.0000,0.382543,16.0000
13900,3558400,256,0.334535,16.0000,0.380427,16.0000
14000,3584000,256,0.336827,16.0000,0.375858,16.0000
14100,3609600,256,0.339194,16.0000,0.392236,16.0000
14200,3635200,256,0.348684,16.0000,0.393700,16.0000
14300,3660800,256,0.347443,16.0000,0.387066,16.0000
14400,3686400,256,0.355409,16.0000,0.375617,16.0000
14500,3712000,256,0.352433,16.0000,0.368300,16.0000
14600,3737600,256,0.343257,16.0000,0.378002,16.0000
14700,3763200,256,0.344930,16.0000,0.371578,16.0000
14800,3788800,256,0.349202,16.0000,0.409114,16.0000
14900,3814400,256,0.347725,16.0000,0.375198,16.0000
15000,3840000,256,0.342274,16.0000,0.367369,16.0000
15100,3865600,256,0.340061,16.0000,0.380866,16.0000
15200,3891200,256,0.342852,16.0000,0.391348,16.0000
15300,3916800,256,0.347271,16.0000,0.395554,16.0000
15400,3942400,256,0.345107,16.0000,0.381811,16.0000
15500,3968000,256,0.340748,16.0000,0.383091,16.0000
15600,3993600,256,0.344634,16.0000,0.398785,16.0000
15700,4019200,256,0.346755,16.0000,0.376005,16.0000
15800,4044800,256,0.349687,16.0000,0.383093,16.0000
15900,4070400,256,0.347335,16.0000,0.393152,16.0000
16000,4096000,256,0.347410,16.0000,0.406050,16.0000
16100,4121600,256,0.344258,16.0000,0.397982,16.0000
16200,4147200,256,0.335891,16.0000,0.399004,16.0000
16300,4172800,256,0.348795,16.0000,0.391052,16.0000
16400,4198400,256,0.364612,16.0000,0.395719,16.0000
16500,4224000,256,0.338562,16.0000,0.400685,16.0000
16600,4249600,256,0.358695,16.0000,0.383445,16.0000
16700,4275200,256,0.354963,16.0000,0.397829,16.0000
16800,4300800,256,0.346647,16.0000,0.399667,16.0000
16900,4326400,256,0.355201,16.0000,0.393948,16.0000
17000,4352000,256,0.351502,16.0000,0.397389,16.0000
17100,4377600,256,0.340877,16.0000,0.367920,16.0000
17200,4403200,256,0.362502,16.0000,0.382532,16.0000
17300,4428800,256,0.352427,16.0000,0.389346,16.0000
17400,4454400,256,0.338773,16.0000,0.388644,16.0000
17500,4480000,256,0.354706,16.0000,0.362895,16.0000
17600,4505600,256,0.359408,16.0000,0.390934,16.0000
17700,4531200,256,0.361772,16.0000,0.387781,16.0000
17800,4556800,256,0.366292,16.0000,0.397828,16.0000
17900,4582400,256,0.356472,16.0000,0.405762,16.0000
18000,4608000,256,0.351514,16.0000,0.401204,16.0000
18100,4633600,256,0.353028,16.0000,0.408191,16.0000
18200,4659200,256,0.350530,16.0000,0.381228,16.0000
18300,4684800,256,0.350221,16.0000,0.364310,16.0000
18400,4710400,256,0.351272,16.0000,0.389207,16.0000
18500,4736000,256,0.355165,16.0000,0.399364,16.0000
18600,4761600,256,0.357492,16.0000,0.411683,16.0000
18700,4787200,256,0.357970,16.0000,0.411193,16.0000
18800,4812800,256,0.345310,16.0000,0.412436,16.0000
18900,4838400,256,0.369971,16.0000,0.400572,16.0000
19000,4864000,256,0.348370,16.0000,0.408808,16.0000
19100,4889600,256,0.363018,16.0000,0.418282,16.0000
19200,4915200,256,0.348989,16.0000,0.423639,16.0000
19300,4940800,256,0.364441,16.0000,0.392597,16.0000
19400,4966400,256,0.353618,16.0000,0.414505,16.0000
19500,4992000,256,0.347674,16.0000,0.420210,16.0000
19600,5017600,256,0.360431,16.0000,0.410327,16.0000
19700,5043200,256,0.371983,16.0000,0.411659,16.0000
19800,5068800,256,0.370118,16.0000,0.418230,16.0000
19900,5094400,256,0.352373,16.0000,0.396787,16.0000
20000,5120000,256,0.355371,16.0000,0.409727,16.0000
20100,5145600,256,0.353918,16.0000,0.402891,16.0000
20200,5171200,256,0.361295,16.0000,0.417102,16.0000
20300,5196800,256,0.350526,16.0000,0.412154,16.0000
20400,5222400,256,0.364151,16.0000,0.415250,16.0000
20500,5248000,256,0.364413,16.0000,0.409857,16.0000
20600,5273600,256,0.358397,16.0000,0.415499,16.0000
20700,5299200,256,0.366623,16.0000,0.403654,16.0000
20800,5324800,256,0.358442,16.0000,0.410110,16.0000
20900,5350400,256,0.372185,16.0000,0.417474,16.0000
21000,5376000,256,0.357333,16.0000,0.409421,16.0000
21100,5401600,256,0.359964,16.0000,0.432187,16.0000
21200,5427200,256,0.358525,16.0000,0.411408,16.0000
21300,5452800,256,0.367459,16.0000,0.434925,16.0000
21400,5478400,256,0.361441,16.0000,0.417873,16.0000
21500,5504000,256,0.352396,16.0000,0.417525,16.0000
21600,5529600,256,0.361181,16.0000,0.400101,16.0000
21700,5555200,256,0.358471,16.0000,0.411161,16.0000
21800,5580800,256,0.349551,16.0000,0.415941,16.0000
21900,5606400,256,0.369135,16.0000,0.416837,16.0000
22000,5632000,256,0.354337,16.0000,0.412668,16.0000
22100,5657600,256,0.345278,16.0000,0.414887,16.0000
22200,5683200,256,0.369014,16.0000,0.398662,16.0000
22300,5708800,256,0.366381,16.0000,0.407277,16.0000
22400,5734400,256,0.363426,16.0000,0.410914,16.0000
22500,5760000,256,0.361388,16.0000,0.426290,16.0000
22600,5785600,256,0.369854,16.0000,0.388199,16.0000
22700,5811200,256,0.364977,16.0000,0.406802,16.0000
22800,5836800,256,0.371818,16.0000,0.403304,16.0000
22900,5862400,256,0.357038,16.0000,0.403584,16.0000
23000,5888000,256,0.378205,16.0000,0.411496,16.0000
23100,5913600,256,0.369681,16.0000,0.422572,16.0000
23200,5939200,256,0.373867,16.0000,0.408250,16.0000
23300,5964800,256,0.348688,16.0000,0.438999,16.0000
23400,5990400,256,0.364968,16.0000,0.390219,16.0000
23500,6016000,256,0.360056,16.0000,0.425578,16.0000
23600,6041600,256,0.363523,16.0000,0.428490,16.0000
23700,6067200,256,0.369192,16.0000,0.427260,16.0000
23800,6092800,256,0.362279,16.0000,0.416858,16.0000
23900,6118400,256,0.356348,16.0000,0.419073,16.0000
24000,6144000,256,0.363737,16.0000,0.407764,16.0000
24100,6169600,256,0.370473,16.0000,0.401471,16.0000
24200,6195200,256,0.364772,16.0000,0.431816,16.0000
24300,6220800,256,0.374388,16.0000,0.424262,16.0000
24400,6246400,256,0.389168,16.0000,0.429956,16.0000
24500,6272000,256,0.363547,16.0000,0.421093,16.0000
24600,6297600,256,0.362284,16.0000,0.421522,16.0000
24700,6323200,256,0.369821,16.0000,0.423046,16.0000
24800,6348800,256,0.370195,16.0000,0.417161,16.0000
24900,6374400,256,0.368812,16.0000,0.415266,16.0000
25000,6400000,256,0.371096,16.0000,0.424046,16.0000
25100,6425600,256,0.391732,16.0000,0.412898,16.0000
25200,6451200,256,0.370750,16.0000,0.420166,16.0000
25300,6476800,256,0.369182,16.0000,0.412923,16.0000
25400,6502400,256,0.378920,16.0000,0.417404,16.0000
25500,6528000,256,0.366054,16.0000,0.408292,16.0000
25600,6553600,256,0.386394,16.0000,0.411951,16.0000
25700,6579200,256,0.374907,16.0000,0.412983,16.0000
25800,6604800,256,0.369564,16.0000,0.409294,16.0000
25900,6630400,256,0.381579,16.0000,0.421493,16.0000
26000,6656000,256,0.368395,16.0000,0.406819,16.0000
26100,6681600,256,0.366143,16.0000,0.423297,16.0000
26200,6707200,256,0.380572,16.0000,0.419570,16.0000
26300,6732800,256,0.372036,16.0000,0.415805,16.0000
26400,6758400,256,0.377577,16.0000,0.440179,16.0000
26500,6784000,256,0.360806,16.0000,0.435697,16.0000
26600,6809600,256,0.364537,16.0000,0.424261,16.0000
26700,6835200,256,0.359549,16.0000,0.429767,16.0000
26800,6860800,256,0.374762,16.0000,0.409248,16.0000
26900,6886400,256,0.367701,16.0000,0.423736,16.0000
27000,6912000,256,0.379142,16.0000,0.429075,16.0000
27100,6937600,256,0.367112,16.0000,0.424374,16.0000
27200,6963200,256,0.364154,16.0000,0.406036,16.0000
27300,6988800,256,0.370045,16.0000,0.424467,16.0000
27400,7014400,256,0.369830,16.0000,0.428352,16.0000
27500,7040000,256,0.373376,16.0000,0.414130,16.0000
27600,7065600,256,0.366467,16.0000,0.428857,16.0000
27700,7091200,256,0.390797,16.0000,0.428062,16.0000
27800,7116800,256,0.374229,16.0000,0.437719,16.0000
27900,7142400,256,0.372133,16.0000,0.421484,16.0000
28000,7168000,256,0.374549,16.0000,0.426110,16.0000
28100,7193600,256,0.383502,16.0000,0.435181,16.0000
28200,7219200,256,0.373300,16.0000,0.434125,16.0000
28300,7244800,256,0.370274,16.0000,0.428846,16.0000
28400,7270400,256,0.374295,16.0000,0.421606,16.0000
28500,7296000,256,0.390665,16.0000,0.423981,16.0000
28600,7321600,256,0.378457,16.0000,0.439224,16.0000
28700,7347200,256,0.384721,16.0000,0.445692,16.0000
28800,7372800,256,0.376138,16.0000,0.430987,16.0000
28900,7398400,256,0.380555,16.0000,0.419459,16.0000
29000,7424000,256,0.371056,16.0000,0.421741,16.0000
29100,7449600,256,0.379809,16.0000,0.438559,16.0000
29200,7475200,256,0.380453,16.0000,0.432867,16.0000
29300,7500800,256,0.370942,16.0000,0.423299,16.0000
29400,7526400,256,0.383541,16.0000,0.410387,16.0000
29500,7552000,256,0.379039,16.0000,0.442248,16.0000
29600,7577600,256,0.371184,16.0000,0.431174,16.0000
29700,7603200,256,0.365017,16.0000,0.429167,16.0000
29800,7628800,256,0.376730,16.0000,0.422792,16.0000
29900,7654400,256,0.367096,16.0000,0.430901,16.0000
30000,7680000,256,0.382276,16.0000,0.413622,16.0000
30100,7705600,256,0.383294,16.0000,0.428235,16.0000
30200,7731200,256,0.388440,16.0000,0.442689,16.0000
30300,7756800,256,0.368609,16.0000,0.427451,16.0000
30400,7782400,256,0.381098,16.0000,0.426884,16.0000
30500,7808000,256,0.385282,16.0000,0.426265,16.0000
30600,7833600,256,0.378225,16.0000,0.424424,16.0000
30700,7859200,256,0.369230,16.0000,0.418855,16.0000
30800,7884800,256,0.396426,16.0000,0.421768,16.0000
30900,7910400,256,0.383030,16.0000,0.403262,16.0000
31000,7936000,256,0.380889,16.0000,0.419197,16.0000
31100,7961600,256,0.390161,16.0000,0.420223,16.0000
31200,7987200,256,0.376372,16.0000,0.418598,16.0000
31300,8012800,256,0.379823,16.0000,0.415720,16.0000
31400,8038400,256,0.393751,16.0000,0.447972,16.0000
31500,8064000,256,0.392418,16.0000,0.428422,16.0000
31600,8089600,256,0.372545,16.0000,0.422062,16.0000
31700,8115200,256,0.389150,16.0000,0.419332,16.0000
31800,8140800,256,0.380399,16.0000,0.439564,16.0000
31900,8166400,256,0.380758,16.0000,0.430095,16.0000
32000,8192000,256,0.368569,16.0000,0.442362,16.0000
32100,8217600,256,0.377144,16.0000,0.438109,16.0000
32200,8243200,256,0.374087,16.0000,0.453337,16.0000
32300,8268800,256,0.380775,16.0000,0.430984,16.0000
32400,8294400,256,0.383720,16.0000,0.429924,16.0000
32500,8320000,256,0.385379,16.0000,0.426958,16.0000
32600,8345600,256,0.384913,16.0000,0.411230,16.0000
32700,8371200,256,0.383124,16.0000,0.441627,16.0000
32800,8396800,256,0.389815,16.0000,0.435209,16.0000
32900,8422400,256,0.381868,16.0000,0.424147,16.0000
33000,8448000,256,0.377854,16.0000,0.428792,16.0000
33100,8473600,256,0.385112,16.0000,0.423579,16.0000
33200,8499200,256,0.378777,16.0000,0.406927,16.0000
33300,8524800,256,0.389672,16.0000,0.428998,16.0000
33400,8550400,256,0.393031,16.0000,0.404461,16.0000
33500,8576000,256,0.378311,16.0000,0.417593,16.0000
33600,8601600,256,0.373783,16.0000,0.421646,16.0000
33700,8627200,256,0.383568,16.0000,0.425997,16.0000
33800,8652800,256,0.393799,16.0000,0.433040,16.0000
33900,8678400,256,0.388203,16.0000,0.426285,16.0000
34000,8704000,256,0.374190,16.0000,0.432293,16.0000
34100,8729600,256,0.382110,16.0000,0.441672,16.0000
34200,8755200,256,0.386780,16.0000,0.428587,16.0000
34300,8780800,256,0.375481,16.0000,0.425367,16.0000
34400,8806400,256,0.396089,16.0000,0.426087,16.0000
34500,8832000,256,0.379290,16.0000,0.429244,16.0000
34600,8857600,256,0.392983,16.0000,0.430032,16.0000
34700,8883200,256,0.386142,16.0000,0.437548,16.0000
34800,8908800,256,0.391726,16.0000,0.430736,16.0000
34900,8934400,256,0.382223,16.0000,0.430243,16.0000
35000,8960000,256,0.385129,16.0000,0.436713,16.0000
35100,8985600,256,0.387067,16.0000,0.439974,16.0000
35200,9011200,256,0.393605,16.0000,0.428390,16.0000
35300,9036800,256,0.379660,16.0000,0.444652,16.0000
35400,9062400,256,0.389154,16.0000,0.426738,16.0000
35500,9088000,256,0.395099,16.0000,0.426148,16.0000
35600,9113600,256,0.388722,16.0000,0.431752,16.0000
35700,9139200,256,0.383305,16.0000,0.440284,16.0000
35800,9164800,256,0.398179,16.0000,0.433787,16.0000
35900,9190400,256,0.391609,16.0000,0.430787,16.0000
36000,9216000,256,0.389841,16.0000,0.439956,16.0000
36100,9241600,256,0.393669,16.0000,0.431946,16.0000
36200,9267200,256,0.388118,16.0000,0.435751,16.0000
36300,9292800,256,0.385889,16.0000,0.437255,16.0000
36400,9318400,256,0.387897,16.0000,0.424918,16.0000
36500,9344000,256,0.384299,16.0000,0.437981,16.0000
36600,9369600,256,0.389675,16.0000,0.432292,16.0000
36700,9395200,256,0.402507,16.0000,0.432952,16.0000
36800,9420800,256,0.390883,16.0000,0.420641,16.0000
36900,9446400,256,0.390445,16.0000,0.432246,16.0000
37000,9472000,256,0.391949,16.0000,0.438820,16.0000
37100,9497600,256,0.400193,16.0000,0.431139,16.0000
37200,9523200,256,0.394517,16.0000,0.421445,16.0000
37300,9548800,256,0.392968,16.0000,0.417819,16.0000
37400,9574400,256,0.389231,16.0000,0.443816,16.0000
37500,9600000,256,0.392717,16.0000,0.445722,16.0000
37600,9625600,256,0.385765,16.0000,0.427754,16.0000
37700,9651200,256,0.389327,16.0000,0.437256,16.0000
37800,9676800,256,0.387142,16.0000,0.438194,16.0000
37900,9702400,256,0.394316,16.0000,0.449176,16.0000
38000,9728000,256,0.402185,16.0000,0.446518,16.0000
38100,9753600,256,0.392841,16.0000,0.438195,16.0000
38200,9779200,256,0.391525,16.0000,0.450503,16.0000
38300,9804800,256,0.384650,16.0000,0.446451,16.0000
38400,9830400,256,0.403931,16.0000,0.434247,16.0000
38500,9856000,256,0.386955,16.0000,0.445972,16.0000
38600,9881600,256,0.386909,16.0000,0.431079,16.0000
38700,9907200,256,0.396144,16.0000,0.438322,16.0000
38800,9932800,256,0.389526,16.0000,0.449349,16.0000
38900,9958400,256,0.379836,16.0000,0.432123,16.0000
39000,9984000,256,0.394965,16.0000,0.448862,16.0000
39100,10009600,256,0.387919,16.0000,0.421636,16.0000
39200,10035200,256,0.395128,16.0000,0.433904,16.0000
39300,10060800,256,0.392564,16.0000,0.429773,16.0000
39400,10086400,256,0.399372,16.0000,0.433963,16.0000
39500,10112000,256,0.392865,16.0000,0.442927,16.0000
39600,10137600,256,0.381843,16.0000,0.447379,16.0000
39700,10163200,256,0.387112,16.0000,0.435315,16.0000
39800,10188800,256,0.395266,16.0000,0.448195,16.0000
39900,10214400,256,0.394190,16.0000,0.440616,16.0000
40000,10240000,256,0.392315,16.0000,0.433530,16.0000
40100,10265600,256,0.391726,16.0000,0.463015,16.0000
40200,10291200,256,0.396263,16.0000,0.445951,16.0000
40300,10316800,256,0.396391,16.0000,0.444652,16.0000
40400,10342400,256,0.378777,16.0000,0.442248,16.0000
40500,10368000,256,0.399982,16.0000,0.439475,16.0000
40600,10393600,256,0.397071,16.0000,0.434252,16.0000
40700,10419200,256,0.400870,16.0000,0.439356,16.0000
40800,10444800,256,0.392121,16.0000,0.431487,16.0000
40900,10470400,256,0.394956,16.0000,0.444619,16.0000
41000,10496000,256,0.401044,16.0000,0.443584,16.0000
41100,10521600,256,0.396541,16.0000,0.428307,16.0000
41200,10547200,256,0.399723,16.0000,0.446072,16.0000
41300,10572800,256,0.390832,16.0000,0.446661,16.0000
41400,10598400,256,0.397391,16.0000,0.437151,16.0000
41500,10624000,256,0.393864,16.0000,0.434792,16.0000
41600,10649600,256,0.396313,16.0000,0.440321,16.0000
41700,10675200,256,0.401187,16.0000,0.429651,16.0000
41800,10700800,256,0.386910,16.0000,0.451927,16.0000
41900,10726400,256,0.406096,16.0000,0.439751,16.0000
42000,10752000,256,0.391374,16.0000,0.454551,16.0000
42100,10777600,256,0.401642,16.0000,0.438410,16.0000
42200,10803200,256,0.397703,16.0000,0.444000,16.0000
42300,10828800,256,0.398803,16.0000,0.442475,16.0000
42400,10854400,256,0.392997,16.0000,0.435251,16.0000
