iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
100,25600,256,0.017142,1.5877,0.008631,1.0000
200,51200,256,0.014298,1.6916,0.009422,1.0000
300,76800,256,0.014984,2.1888,0.022827,2.5000
400,102400,256,0.015355,2.5756,0.012251,2.5000
500,128000,256,0.012721,1.9500,0.010548,2.5000
600,153600,256,0.015295,2.2452,0.024954,2.5000
700,179200,256,0.014125,2.3804,0.019061,3.2500
800,204800,256,0.016034,2.0968,0.010799,3.2500
900,230400,256,0.015048,2.2171,0.012571,1.7500
1000,256000,256,0.015808,2.4433,0.011549,1.7500
1100,281600,256,0.015673,2.4874,0.014565,1.7500
1200,307200,256,0.014685,2.5430,0.018772,1.7500
1300,332800,256,0.015085,2.2861,0.013994,1.7500
1400,358400,256,0.014794,2.2341,0.029721,1.7500
1500,384000,256,0.015042,2.3031,0.026166,1.7500
1600,409600,256,0.016081,2.3083,0.007532,1.7500
1700,435200,256,0.015204,1.8365,0.011519,1.5000
1800,460800,256,0.016247,1.7796,0.029983,1.5000
1900,486400,256,0.016886,1.6195,0.011030,1.5000
2000,512000,256,0.012219,1.6449,0.009146,1.5000
2100,537600,256,0.015726,1.8275,0.014118,1.5000
2200,563200,256,0.016209,1.5807,0.022637,1.5000
2300,588800,256,0.015138,1.6017,0.028799,1.5000
2400,614400,256,0.015086,1.8190,0.010686,1.5000
2500,640000,256,0.014552,1.8178,0.026838,1.5000
2600,665600,256,0.015672,1.9452,0.007125,1.5000
2700,691200,256,0.015268,1.8773,0.010370,1.5000
2800,716800,256,0.018545,1.7772,0.017626,1.5000
2900,742400,256,0.014216,1.6987,0.023657,1.5000
3000,768000,256,0.016844,1.8472,0.019563,1.5000
3100,793600,256,0.015617,1.7574,0.008579,1.5000
3200,819200,256,0.014789,1.6613,0.027179,1.5000
3300,844800,256,0.018308,1.6668,0.032706,2.0000
3400,870400,256,0.015241,1.5922,0.013189,2.0000
3500,896000,256,0.016251,1.5448,0.011199,2.0000
3600,921600,256,0.015658,1.4126,0.015562,2.0000
3700,947200,256,0.017287,1.6439,0.002727,2.0000
3800,972800,256,0.016293,1.4735,0.020833,2.0000
3900,998400,256,0.016904,1.4291,0.010018,2.0000
4000,1024000,256,0.015378,1.4931,0.007063,2.0000
4100,1049600,256,0.014257,1.5088,0.010457,2.0000
4200,1075200,256,0.015282,1.4416,0.020110,2.0000
4300,1100800,256,0.014989,1.2263,0.048807,1.0000
4400,1126400,256,0.015935,1.7628,0.015333,1.5000
4500,1152000,256,0.014246,1.7478,0.013751,1.5000
4600,1177600,256,0.016569,1.7835,0.005040,1.5000
4700,1203200,256,0.015244,1.7525,0.011829,1.5000
4800,1228800,256,0.016425,1.7566,0.013840,1.5000
4900,1254400,256,0.015414,1.7280,0.029461,1.5000
5000,1280000,256,0.015107,1.7673,0.014702,1.5000
5100,1305600,256,0.014077,1.7686,0.010953,1.5000
5200,1331200,256,0.015373,1.7988,0.025201,1.7500
5300,1356800,256,0.014423,1.8159,0.020578,1.5000
5400,1382400,256,0.017273,1.7614,0.013902,1.5000
