iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
1,25600,1,0.232716,10.0000,,
2,51200,1,0.223988,10.0000,,
3,76800,1,0.076266,10.0000,,
4,102400,1,0.069466,10.0000,,
5,128000,1,0.094808,10.0000,0.196981,10.0000
6,153600,1,0.016090,10.0000,,
7,179200,1,0.049417,10.0000,,
8,204800,1,0.078828,10.0000,,
9,230400,1,0.407333,10.0000,,
10,256000,1,0.218278,10.0000,0.039081,10.0000
11,281600,1,0.086317,10.0000,,
12,307200,1,0.099884,10.0000,,
13,332800,1,0.104868,10.0000,,
14,358400,1,0.088206,10.0000,,
15,384000,1,0.329299,10.0000,0.070126,10.0000
16,409600,1,0.016524,10.0000,,
17,435200,1,0.080684,10.0000,,
18,460800,1,0.205796,10.0000,,
19,486400,1,0.217383,10.0000,,
20,512000,1,0.209408,10.0000,0.063748,10.0000
21,537600,1,0.086631,10.0000,,
22,563200,1,0.130519,10.0000,,
23,588800,1,0.309097,10.0000,,
24,614400,1,0.115058,10.0000,,
25,640000,1,0.036444,10.0000,0.124339,10.0000
26,665600,1,0.014077,10.0000,,
27,691200,1,0.011030,10.0000,,
28,716800,1,0.057220,10.0000,,
29,742400,1,0.020613,10.0000,,
30,768000,1,0.123452,10.0000,0.095705,10.0000
31,793600,1,0.038140,10.0000,,
32,819200,1,0.009589,10.0000,,
33,844800,1,0.009905,10.0000,,
34,870400,1,0.144767,10.0000,,
35,896000,1,0.062918,10.0000,0.131174,10.0000
36,921600,1,0.403302,10.0000,,
37,947200,1,0.036077,10.0000,,
38,972800,1,0.114846,10.0000,,
39,998400,1,0.082935,10.0000,,
40,1024000,1,0.071120,10.0000,0.038538,10.0000
41,1049600,1,0.081693,10.0000,,
42,1075200,1,0.021979,10.0000,,
43,1100800,1,0.112798,10.0000,,
44,1126400,1,0.110212,10.0000,,
45,1152000,1,0.190943,10.0000,0.043500,10.0000
46,1177600,1,0.062298,10.0000,,
47,1203200,1,0.048318,10.0000,,
48,1228800,1,0.256179,10.0000,,
49,1254400,1,0.189557,10.0000,,
50,1280000,1,0.038484,10.0000,0.043861,10.0000
51,1305600,1,0.097383,10.0000,,
52,1331200,1,0.043501,10.0000,,
53,1356800,1,0.052841,10.0000,,
54,1382400,1,0.066091,10.0000,,
55,1408000,1,0.104177,10.0000,0.069242,10.0000
56,1433600,1,0.364231,10.0000,,
57,1459200,1,0.172154,10.0000,,
58,1484800,1,0.216303,10.0000,,
59,1510400,1,0.102305,10.0000,,
60,1536000,1,0.114006,10.0000,0.069296,10.0000
61,1561600,1,0.012851,10.0000,,
62,1587200,1,0.075588,10.0000,,
63,1612800,1,0.064939,10.0000,,
64,1638400,1,0.000721,10.0000,,
65,1664000,1,0.025237,10.0000,0.063179,10.0000
66,1689600,1,0.178011,10.0000,,
67,1715200,1,0.091489,10.0000,,
68,1740800,1,0.136649,10.0000,,
69,1766400,1,0.054799,10.0000,,
70,1792000,1,0.138766,10.0000,0.107764,10.0000
71,1817600,1,0.000955,10.0000,,
72,1843200,1,0.156988,10.0000,,
73,1868800,1,0.002725,10.0000,,
74,1894400,1,0.431479,10.0000,,
75,1920000,1,0.406008,10.0000,0.026591,10.0000
76,1945600,1,0.020228,10.0000,,
77,1971200,1,0.016053,10.0000,,
78,1996800,1,0.530860,10.0000,,
79,2022400,1,0.147382,10.0000,,
80,2048000,1,0.044341,10.0000,0.052389,10.0000
81,2073600,1,0.082167,10.0000,,
82,2099200,1,0.022281,10.0000,,
83,2124800,1,0.029561,10.0000,,
84,2150400,1,0.062512,10.0000,,
85,2176000,1,0.110389,10.0000,0.075661,10.0000
86,2201600,1,0.271286,10.0000,,
87,2227200,1,0.041692,10.0000,,
88,2252800,1,0.041277,10.0000,,
89,2278400,1,0.040472,10.0000,,
90,2304000,1,0.093093,10.0000,0.028270,10.0000
91,2329600,1,0.000872,10.0000,,
92,2355200,1,0.074822,10.0000,,
93,2380800,1,0.079549,10.0000,,
