iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
1,3200,1,0.346268,10.0000,,
2,6400,1,0.379313,10.0000,,
3,9600,1,0.284142,10.0000,,
4,12800,1,0.406322,10.0000,,
5,16000,1,0.385000,10.0000,0.052371,50.0000
6,19200,1,0.292125,10.0000,,
7,22400,1,0.363390,10.0000,,
8,25600,1,0.426966,10.0000,,
9,28800,1,0.341003,10.0000,,
10,32000,1,0.321242,10.0000,0.038685,47.7500
11,35200,1,0.311940,10.0000,,
12,38400,1,0.424381,10.0000,,
13,41600,1,0.308563,10.0000,,
14,44800,1,0.437193,10.0000,,
15,48000,1,0.544267,10.0000,0.022511,30.0000
16,51200,1,0.338627,10.0000,,
17,54400,1,0.334988,10.0000,,
18,57600,1,0.368502,10.0000,,
19,60800,1,0.350585,10.0000,,
20,64000,1,0.367015,10.0000,0.064176,42.0000
21,67200,1,0.306655,10.0000,,
22,70400,1,0.333389,10.0000,,
23,73600,1,0.332851,10.0000,,
24,76800,1,0.312808,10.0000,,
25,80000,1,0.382982,10.0000,0.064513,44.0000
26,83200,1,0.386215,10.0000,,
27,86400,1,0.359216,10.0000,,
28,89600,1,0.326722,10.0000,,
29,92800,1,0.309069,10.0000,,
30,96000,1,0.313771,10.0000,0.064097,40.5000
31,99200,1,0.311878,10.0000,,
32,102400,1,0.314307,10.0000,,
33,105600,1,0.353564,10.0000,,
34,108800,1,0.349097,10.0000,,
35,112000,1,0.399571,10.0000,0.045775,42.5000
36,115200,1,0.309468,10.0000,,
37,118400,1,0.363743,10.0000,,
38,121600,1,0.387279,10.0000,,
39,124800,1,0.336486,10.0000,,
40,128000,1,0.354000,10.0000,0.023147,49.7500
41,131200,1,0.317337,10.0000,,
42,134400,1,0.293841,10.0000,,
43,137600,1,0.299437,10.0000,,
44,140800,1,0.265096,10.0000,,
45,144000,1,0.303285,10.0000,0.020922,50.0000
46,147200,1,0.345235,10.0000,,
47,150400,1,0.345054,10.0000,,
48,153600,1,0.318676,10.0000,,
49,156800,1,0.271756,10.0000,,
50,160000,1,0.297069,10.0000,0.050884,41.0000
51,163200,1,0.283736,10.0000,,
52,166400,1,0.330323,10.0000,,
53,169600,1,0.328284,10.0000,,
54,172800,1,0.320881,10.0000,,
55,176000,1,0.358455,10.0000,0.028771,50.0000
56,179200,1,0.355665,10.0000,,
57,182400,1,0.329994,10.0000,,
58,185600,1,0.349584,10.0000,,
59,188800,1,0.316183,10.0000,,
60,192000,1,0.374854,10.0000,0.065861,50.0000
61,195200,1,0.327429,10.0000,,
62,198400,1,0.313101,10.0000,,
63,201600,1,0.284368,10.0000,,
64,204800,1,0.294756,10.0000,,
65,208000,1,0.280735,10.0000,0.049747,50.0000
66,211200,1,0.297588,10.0000,,
67,214400,1,0.337317,10.0000,,
68,217600,1,0.339201,10.0000,,
69,220800,1,0.306193,10.0000,,
70,224000,1,0.325135,10.0000,0.003963,50.0000
71,227200,1,0.391983,10.0000,,
72,230400,1,0.373121,10.0000,,
73,233600,1,0.313940,10.0000,,
74,236800,1,0.359522,10.0000,,
75,240000,1,0.458662,10.0000,0.031094,50.0000
76,243200,1,0.305751,10.0000,,
77,246400,1,0.338415,10.0000,,
78,249600,1,0.322566,10.0000,,
79,252800,1,0.303332,10.0000,,
80,256000,1,0.297799,10.0000,0.048569,50.0000
81,259200,1,0.299357,10.0000,,
82,262400,1,0.382693,10.0000,,
83,265600,1,0.311130,10.0000,,
84,268800,1,0.438650,10.0000,,
85,272000,1,0.439238,10.0000,0.058818,50.0000
86,275200,1,0.360710,10.0000,,
87,278400,1,0.316238,10.0000,,
88,281600,1,0.455027,10.0000,,
89,284800,1,0.343525,10.0000,,
90,288000,1,0.280134,10.0000,0.066757,50.0000
91,291200,1,0.452130,10.0000,,
92,294400,1,0.318636,10.0000,,
93,297600,1,0.319122,10.0000,,
94,300800,1,0.348014,10.0000,,
95,304000,1,0.290026,10.0000,0.075352,50.0000
96,307200,1,0.420876,10.0000,,
97,310400,1,0.314569,10.0000,,
98,313600,1,0.395750,10.0000,,
99,316800,1,0.380682,10.0000,,
100,320000,1,0.350031,10.0000,0.031048,50.0000
101,323200,1,0.313987,10.0000,,
102,326400,1,0.474104,10.0000,,
103,329600,1,0.326460,10.0000,,
104,332800,1,0.272218,10.0000,,
105,336000,1,0.300141,10.0000,0.045047,50.0000
106,339200,1,0.337709,10.0000,,
107,342400,1,0.360342,10.0000,,
108,345600,1,0.325271,10.0000,,
109,348800,1,0.340167,10.0000,,
110,352000,1,0.377072,10.0000,0.072157,50.0000
111,355200,1,0.320928,10.0000,,
112,358400,1,0.367245,10.0000,,
113,361600,1,0.334793,10.0000,,
114,364800,1,0.345986,10.0000,,
115,368000,1,0.363560,10.0000,0.050257,42.2500
116,371200,1,0.340801,10.0000,,
117,374400,1,0.319200,10.0000,,
118,377600,1,0.317764,10.0000,,
119,380800,1,0.314885,10.0000,,
120,384000,1,0.392013,10.0000,0.061815,50.0000
121,387200,1,0.296676,10.0000,,
122,390400,1,0.328340,10.0000,,
123,393600,1,0.354543,10.0000,,
124,396800,1,0.367081,10.0000,,
125,400000,1,0.329436,10.0000,0.044979,44.2500
126,403200,1,0.436380,10.0000,,
127,406400,1,0.321389,10.0000,,
128,409600,1,0.349706,10.0000,,
129,412800,1,0.321645,10.0000,,
130,416000,1,0.317126,10.0000,0.020877,50.0000
131,419200,1,0.330112,10.0000,,
132,422400,1,0.347113,10.0000,,
133,425600,1,0.260519,10.0000,,
134,428800,1,0.336005,10.0000,,
135,432000,1,0.371544,10.0000,0.020400,39.5000
136,435200,1,0.372387,10.0000,,
137,438400,1,0.376998,10.0000,,
138,441600,1,0.297176,10.0000,,
139,444800,1,0.307289,10.0000,,
140,448000,1,0.393227,10.0000,0.054548,50.0000
141,451200,1,0.303484,10.0000,,
142,454400,1,0.335948,10.0000,,
143,457600,1,0.383544,10.0000,,
144,460800,1,0.318700,10.0000,,
145,464000,1,0.273495,10.0000,0.055370,34.5000
146,467200,1,0.330146,10.0000,,
147,470400,1,0.298659,10.0000,,
148,473600,1,0.325221,10.0000,,
149,476800,1,0.420173,10.0000,,
150,480000,1,0.322973,10.0000,0.029777,41.5000
151,483200,1,0.379184,10.0000,,
152,486400,1,0.311939,10.0000,,
153,489600,1,0.298434,10.0000,,
154,492800,1,0.339541,10.0000,,
155,496000,1,0.391648,10.0000,0.029366,34.5000
156,499200,1,0.355890,10.0000,,
157,502400,1,0.389058,10.0000,,
158,505600,1,0.298240,10.0000,,
