iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
1,3200,1,6.087721,10.0000,,
2,6400,1,5.747856,10.0000,,
3,9600,1,5.499647,10.0000,,
4,12800,1,5.941295,10.0000,,
5,16000,1,5.098162,10.0000,5.808894,10.0000
6,19200,1,4.424056,10.0000,,
7,22400,1,4.610457,10.0000,,
8,25600,1,6.267032,10.0000,,
9,28800,1,4.877748,10.0000,,
10,32000,1,5.508756,10.0000,5.381333,10.0000
11,35200,1,6.421628,10.0000,,
12,38400,1,4.890180,10.0000,,
13,41600,1,5.969114,10.0000,,
14,44800,1,5.638473,10.0000,,
15,48000,1,4.660504,10.0000,5.728935,10.0000
16,51200,1,5.402075,10.0000,,
17,54400,1,5.901673,10.0000,,
18,57600,1,5.402334,10.0000,,
19,60800,1,5.434257,10.0000,,
20,64000,1,4.542092,10.0000,6.028524,10.0000
21,67200,1,6.439417,10.0000,,
22,70400,1,5.745751,10.0000,,
23,73600,1,5.800857,10.0000,,
24,76800,1,5.231243,10.0000,,
25,80000,1,6.256710,10.0000,5.637248,10.0000
26,83200,1,5.526134,10.0000,,
27,86400,1,5.968588,10.0000,,
28,89600,1,5.532083,10.0000,,
29,92800,1,6.234113,10.0000,,
30,96000,1,5.331123,10.0000,6.047144,10.0000
31,99200,1,6.382444,10.0000,,
32,102400,1,5.465173,10.0000,,
33,105600,1,5.567632,10.0000,,
34,108800,1,5.848228,10.0000,,
35,112000,1,5.247138,10.0000,5.175619,10.0000
36,115200,1,5.467691,10.0000,,
37,118400,1,5.902641,10.0000,,
38,121600,1,5.923762,10.0000,,
39,124800,1,5.385864,10.0000,,
40,128000,1,5.735482,10.0000,5.481149,10.0000
41,131200,1,5.195658,10.0000,,
42,134400,1,5.561282,10.0000,,
43,137600,1,5.986238,10.0000,,
44,140800,1,5.612195,10.0000,,
45,144000,1,5.346824,10.0000,5.422480,10.0000
46,147200,1,5.917243,10.0000,,
47,150400,1,5.755167,10.0000,,
48,153600,1,5.504657,10.0000,,
49,156800,1,5.983211,10.0000,,
50,160000,1,5.544032,10.0000,5.548480,10.0000
51,163200,1,5.929956,10.0000,,
52,166400,1,5.357224,10.0000,,
53,169600,1,5.856457,10.0000,,
54,172800,1,5.391654,10.0000,,
55,176000,1,4.787962,10.0000,5.658819,10.0000
56,179200,1,5.937652,10.0000,,
57,182400,1,6.210229,10.0000,,
58,185600,1,5.775966,10.0000,,
59,188800,1,6.065619,10.0000,,
60,192000,1,6.078399,10.0000,5.877579,10.0000
61,195200,1,6.053273,10.0000,,
62,198400,1,6.073682,10.0000,,
63,201600,1,5.798319,10.0000,,
64,204800,1,5.856305,10.0000,,
65,208000,1,5.681624,10.0000,5.422849,10.0000
66,211200,1,5.067726,10.0000,,
67,214400,1,5.761908,10.0000,,
68,217600,1,5.441397,10.0000,,
69,220800,1,4.616078,10.0000,,
70,224000,1,5.900234,10.0000,5.755858,10.0000
71,227200,1,5.406334,10.0000,,
72,230400,1,5.423315,10.0000,,
73,233600,1,5.975622,10.0000,,
74,236800,1,6.032138,10.0000,,
75,240000,1,4.735849,10.0000,5.709943,10.0000
76,243200,1,5.556675,10.0000,,
77,246400,1,5.739189,10.0000,,
78,249600,1,6.558479,10.0000,,
79,252800,1,5.027465,10.0000,,
80,256000,1,6.196434,10.0000,5.871372,10.0000
81,259200,1,6.069701,10.0000,,
82,262400,1,6.035238,10.0000,,
83,265600,1,5.789230,10.0000,,
84,268800,1,5.362690,10.0000,,
85,272000,1,6.174654,10.0000,5.602821,10.0000
86,275200,1,5.727303,10.0000,,
87,278400,1,5.515609,10.0000,,
88,281600,1,4.909062,10.0000,,
89,284800,1,5.765501,10.0000,,
90,288000,1,5.539335,10.0000,5.334622,10.0000
91,291200,1,5.226961,10.0000,,
92,294400,1,4.891464,10.0000,,
93,297600,1,5.255398,10.0000,,
94,300800,1,5.644430,10.0000,,
95,304000,1,5.792533,10.0000,5.987654,10.0000
96,307200,1,5.117887,10.0000,,
97,310400,1,6.169558,10.0000,,
98,313600,1,5.225108,10.0000,,
99,316800,1,6.423472,10.0000,,
100,320000,1,6.182609,10.0000,5.461242,10.0000
101,323200,1,6.107479,10.0000,,
102,326400,1,6.522730,10.0000,,
103,329600,1,5.528198,10.0000,,
104,332800,1,6.086352,10.0000,,
105,336000,1,5.280508,10.0000,5.278846,10.0000
106,339200,1,4.880904,10.0000,,
107,342400,1,4.487836,10.0000,,
108,345600,1,5.935718,10.0000,,
109,348800,1,5.744980,10.0000,,
110,352000,1,5.477292,10.0000,5.840726,10.0000
111,355200,1,6.131688,10.0000,,
112,358400,1,5.916585,10.0000,,
113,361600,1,6.044528,10.0000,,
114,364800,1,5.295053,10.0000,,
115,368000,1,5.362058,10.0000,5.607198,10.0000
116,371200,1,5.590677,10.0000,,
117,374400,1,6.239790,10.0000,,
118,377600,1,5.036972,10.0000,,
119,380800,1,4.449507,10.0000,,
120,384000,1,6.273458,10.0000,5.190964,10.0000
121,387200,1,5.506015,10.0000,,
122,390400,1,6.633396,10.0000,,
123,393600,1,5.314444,10.0000,,
124,396800,1,6.122293,10.0000,,
125,400000,1,5.241827,10.0000,4.808228,10.0000
126,403200,1,5.935595,10.0000,,
127,406400,1,6.376443,10.0000,,
128,409600,1,5.616872,10.0000,,
129,412800,1,4.948421,10.0000,,
130,416000,1,5.864661,10.0000,5.739941,10.0000
131,419200,1,4.764515,10.0000,,
132,422400,1,5.890123,10.0000,,
133,425600,1,5.804545,10.0000,,
134,428800,1,5.590868,10.0000,,
135,432000,1,5.045144,10.0000,5.894740,10.0000
136,435200,1,5.278226,10.0000,,
137,438400,1,6.171458,10.0000,,
138,441600,1,5.314582,10.0000,,
139,444800,1,5.050047,10.0000,,
140,448000,1,5.725014,10.0000,5.366349,10.0000
141,451200,1,5.382520,10.0000,,
142,454400,1,6.181340,10.0000,,
143,457600,1,5.113849,10.0000,,
144,460800,1,5.604231,10.0000,,
145,464000,1,4.997676,10.0000,5.626065,10.0000
146,467200,1,5.575195,10.0000,,
147,470400,1,5.000245,10.0000,,
148,473600,1,5.414069,10.0000,,
149,476800,1,6.111709,10.0000,,
150,480000,1,6.518095,10.0000,5.897523,10.0000
151,483200,1,5.621558,10.0000,,
152,486400,1,5.689663,10.0000,,
153,489600,1,5.692960,10.0000,,
154,492800,1,5.575275,10.0000,,
155,496000,1,6.279882,10.0000,5.535254,10.0000
156,499200,1,5.553296,10.0000,,
