iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
1,3200,1,8.735054,10.0000,,
2,6400,1,10.065262,10.0000,,
3,9600,1,9.076845,10.0000,,
4,12800,1,9.486782,10.0000,,
5,16000,1,10.349731,10.0000,9.546733,10.0000
6,19200,1,10.177567,10.0000,,
7,22400,1,9.656697,10.0000,,
8,25600,1,9.215961,10.0000,,
9,28800,1,9.658535,10.0000,,
10,32000,1,9.584841,10.0000,9.674267,10.0000
11,35200,1,10.232933,10.0000,,
12,38400,1,9.907932,10.0000,,
13,41600,1,9.503608,10.0000,,
14,44800,1,10.151652,10.0000,,
15,48000,1,9.578852,10.0000,9.479326,10.0000
16,51200,1,9.797080,10.0000,,
17,54400,1,9.340921,10.0000,,
18,57600,1,9.589320,10.0000,,
19,60800,1,10.136131,10.0000,,
20,64000,1,8.886389,10.0000,9.477539,10.0000
21,67200,1,9.693657,10.0000,,
22,70400,1,9.478010,10.0000,,
23,73600,1,9.789613,10.0000,,
24,76800,1,9.000825,10.0000,,
25,80000,1,9.271074,10.0000,9.569129,10.0000
26,83200,1,9.639475,10.0000,,
27,86400,1,9.399187,10.0000,,
28,89600,1,10.015855,10.0000,,
29,92800,1,9.318665,10.0000,,
30,96000,1,9.529535,10.0000,10.056376,10.0000
31,99200,1,10.455566,10.0000,,
32,102400,1,9.423765,10.0000,,
33,105600,1,9.349340,10.0000,,
34,108800,1,8.462201,10.0000,,
35,112000,1,10.014345,10.0000,9.507816,10.0000
36,115200,1,9.750774,10.0000,,
37,118400,1,10.541160,10.0000,,
38,121600,1,10.100609,10.0000,,
39,124800,1,9.313070,10.0000,,
40,128000,1,9.582569,10.0000,9.112981,10.0000
41,131200,1,9.148317,10.0000,,
42,134400,1,10.215642,10.0000,,
43,137600,1,10.085044,10.0000,,
44,140800,1,9.999187,10.0000,,
45,144000,1,9.900074,10.0000,9.504327,10.0000
46,147200,1,9.692106,10.0000,,
47,150400,1,8.567991,10.0000,,
48,153600,1,8.573202,10.0000,,
49,156800,1,9.702673,10.0000,,
50,160000,1,7.986166,10.0000,9.749828,10.0000
51,163200,1,9.748922,10.0000,,
52,166400,1,9.298643,10.0000,,
53,169600,1,9.869713,10.0000,,
54,172800,1,9.667957,10.0000,,
55,176000,1,9.983948,10.0000,9.670890,10.0000
