iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
1,2048,140,6.582770,13.4714,,
2,4096,134,6.535336,14.3731,,
3,6144,126,6.620688,15.2540,,
4,8192,138,6.482504,13.7609,,
5,10240,138,6.605575,13.8188,6.008265,30.0000
6,12288,158,6.473662,12.1329,,
7,14336,161,6.424573,11.6460,,
8,16384,161,6.475502,11.7578,,
9,18432,193,6.498004,9.6425,,
10,20480,170,6.414423,11.0588,6.095892,30.0000
11,22528,177,6.403552,10.6271,,
12,24576,197,6.304618,9.4619,,
13,26624,179,6.464487,10.3743,,
14,28672,201,6.184081,9.2488,,
15,30720,202,6.412963,9.1287,6.042291,30.0000
16,32768,200,6.360552,9.2750,,
17,34816,192,6.307637,9.6875,,
18,36864,186,6.268346,10.0860,,
19,38912,173,6.276253,10.8497,,
20,40960,197,6.204632,9.3401,6.152461,30.0000
21,43008,209,6.324590,8.8995,,
22,45056,178,6.129654,10.4551,,
23,47104,163,6.305062,11.5092,,
24,49152,184,6.223499,10.2283,,
25,51200,190,6.221580,9.8053,6.136465,22.5000
26,53248,160,6.292906,11.6438,,
27,55296,196,6.238017,9.5306,,
28,57344,199,6.183937,9.2462,,
29,59392,224,6.203120,8.1652,,
30,61440,188,6.258868,9.8883,6.118663,30.0000
31,63488,187,6.029864,10.1123,,
32,65536,188,6.125206,9.8830,,
33,67584,182,6.260104,10.2473,,
34,69632,198,6.153987,9.3485,,
35,71680,203,6.128065,8.9951,6.155644,17.0000
36,73728,196,6.155015,9.4541,,
37,75776,215,6.236198,8.5256,,
38,77824,206,6.125235,8.9175,,
39,79872,215,6.133634,8.5256,,
40,81920,198,6.095609,9.2424,6.106971,16.2500
41,83968,228,6.043004,7.9518,,
42,86016,210,6.102623,8.7905,,
43,88064,200,6.056074,9.2350,,
44,90112,200,6.006648,9.2100,,
45,92160,193,6.034471,9.5596,6.111738,23.0000
46,94208,180,6.049818,10.3778,,
47,96256,179,6.142925,10.3575,,
48,98304,192,6.052109,9.7552,,
49,100352,209,6.045171,8.7943,,
50,102400,220,5.861545,8.3000,6.153581,23.2500
51,104448,198,6.069276,9.3485,,
52,106496,207,6.070555,8.7826,,
53,108544,210,6.053658,8.8190,,
54,110592,211,5.887773,8.7536,,
55,112640,220,6.078310,8.2409,6.115388,16.2500
56,114688,226,5.954952,8.0708,,
57,116736,214,5.948730,8.5467,,
58,118784,227,5.939601,7.9295,,
59,120832,202,5.970853,9.2228,,
60,122880,221,5.922624,8.2805,6.209131,15.7500
61,124928,216,6.060657,8.4167,,
62,126976,230,5.999625,7.9043,,
63,129024,221,6.004812,8.2715,,
64,131072,241,5.851449,7.5311,,
65,133120,231,5.945342,7.8615,6.211876,16.0000
66,135168,254,5.873771,7.0315,,
67,137216,230,5.957264,7.8957,,
68,139264,248,5.872728,7.3024,,
69,141312,258,5.870007,6.8915,,
70,143360,281,5.879745,6.3274,6.126219,15.5000
71,145408,249,5.857192,7.2289,,
72,147456,309,5.796214,5.6084,,
73,149504,285,5.885421,6.2070,,
74,151552,299,5.850879,5.8428,,
75,153600,287,5.829560,6.1289,6.174592,15.5000
76,155648,294,5.892887,5.9694,,
77,157696,276,5.763926,6.3913,,
78,159744,269,5.829529,6.6394,,
79,161792,276,5.878739,6.4239,,
80,163840,289,5.858365,6.0415,6.104836,9.2500
81,165888,268,5.823702,6.6381,,
82,167936,290,5.664234,6.0379,,
83,169984,290,5.797506,6.0517,,
84,172032,286,5.757560,6.1573,,
85,174080,269,5.724034,6.5874,6.107068,9.2500
86,176128,266,5.845920,6.6955,,
87,178176,265,5.785641,6.7208,,
88,180224,268,5.804299,6.6157,,
89,182272,243,5.763971,7.4239,,
90,184320,256,5.777635,6.9492,6.122608,9.2500
91,186368,268,5.734200,6.6045,,
92,188416,250,5.741317,7.2280,,
93,190464,260,5.726892,6.8731,,
94,192512,269,5.740698,6.6171,,
95,194560,296,5.733191,5.8615,6.088467,9.2500
96,196608,289,5.669826,6.0830,,
97,198656,304,5.733212,5.7434,,
98,200704,315,5.807657,5.4984,,
99,202752,280,5.784744,6.3000,,
