iter,timestep,episodes,train_fidelity,train_pulses,eval_fidelity,eval_pulses
1,2048,97,0.108067,20.0103,,
2,4096,98,0.106987,19.9184,,
3,6144,98,0.127307,19.8673,,
4,8192,105,0.108547,18.6000,,
5,10240,105,0.126605,18.4476,0.097245,25.0000
6,12288,99,0.102321,19.9091,,
7,14336,104,0.107476,18.6827,,
8,16384,102,0.126085,18.9118,,
9,18432,99,0.113913,19.8687,,
10,20480,101,0.112771,19.2475,0.062170,25.0000
11,22528,103,0.089903,19.1068,,
12,24576,99,0.091256,19.6465,,
13,26624,91,0.121853,21.3516,,
14,28672,93,0.101333,21.1290,,
15,30720,97,0.102968,20.0412,0.077533,25.0000
16,32768,101,0.103782,19.3861,,
17,34816,96,0.125312,20.2396,,
18,36864,98,0.103192,20.0918,,
19,38912,99,0.103237,19.6364,,
20,40960,99,0.121664,19.7778,0.092158,25.0000
21,43008,97,0.116396,20.3711,,
22,45056,101,0.123356,19.2772,,
23,47104,95,0.108320,20.4526,,
24,49152,93,0.111611,20.8817,,
25,51200,98,0.104739,19.9592,0.096303,25.0000
26,53248,94,0.120222,20.9043,,
27,55296,96,0.097251,20.3021,,
28,57344,101,0.103436,19.4356,,
29,59392,99,0.114829,19.5859,,
30,61440,100,0.105377,19.5500,0.139108,25.0000
31,63488,100,0.113521,19.6700,,
32,65536,98,0.134669,19.9082,,
33,67584,97,0.101105,20.0722,,
34,69632,98,0.109402,19.9184,,
35,71680,102,0.125131,19.0392,0.117080,25.0000
36,73728,103,0.113235,18.9515,,
37,75776,102,0.120813,19.1569,,
38,77824,98,0.099407,20.0000,,
39,79872,98,0.084315,19.6939,,
40,81920,101,0.098772,19.4059,0.120044,25.0000
41,83968,97,0.112517,20.2887,,
42,86016,100,0.113982,19.4900,,
43,88064,103,0.104809,18.7282,,
44,90112,102,0.114803,19.2941,,
45,92160,102,0.109126,18.9706,0.122124,25.0000
46,94208,102,0.116622,19.1569,,
47,96256,108,0.114251,17.8889,,
48,98304,105,0.123369,18.5714,,
49,100352,106,0.098812,18.2642,,
50,102400,103,0.093842,19.0485,0.120340,25.0000
51,104448,111,0.110660,17.6306,,
52,106496,102,0.099768,19.0686,,
53,108544,105,0.106027,18.5048,,
54,110592,103,0.098000,18.8932,,
55,112640,104,0.141883,18.6250,0.131877,25.0000
56,114688,103,0.110669,19.0485,,
57,116736,105,0.100364,18.4571,,
58,118784,103,0.113976,18.8544,,
59,120832,102,0.095134,19.1863,,
60,122880,98,0.107578,19.8673,0.138971,25.0000
61,124928,102,0.111382,19.0784,,
62,126976,106,0.121911,18.4717,,
63,129024,103,0.130075,18.7864,,
64,131072,106,0.113441,18.4528,,
