iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
1,2048,58,14.586800,33.9138,,
2,4096,56,14.505692,35.8036,,
3,6144,58,14.361584,33.6552,,
4,8192,60,14.119566,33.9333,,
5,10240,57,14.295043,34.4035,13.774211,50.0000
6,12288,62,14.176672,32.7097,,
7,14336,60,14.191151,33.0167,,
8,16384,58,14.327747,34.3448,,
9,18432,59,14.099047,33.4915,,
10,20480,59,13.932136,33.9153,13.929809,50.0000
11,22528,63,14.176199,31.9365,,
12,24576,58,14.248875,34.3621,,
13,26624,57,14.038837,34.6491,,
14,28672,65,14.112050,30.8769,,
15,30720,55,14.487014,36.2000,13.403139,42.5000
16,32768,63,14.098650,32.0159,,
17,34816,56,14.042641,35.6429,,
18,36864,57,14.249419,34.9825,,
19,38912,59,14.081042,33.4576,,
20,40960,62,13.897632,32.2742,13.845051,42.5000
21,43008,65,14.357640,31.2462,,
22,45056,61,14.016641,32.3934,,
23,47104,60,14.082826,33.3167,,
24,49152,65,13.970808,30.0615,,
25,51200,63,14.263765,31.6667,13.813371,35.5000
26,53248,60,14.015131,33.5667,,
27,55296,66,14.428478,30.1667,,
28,57344,65,14.192123,30.6000,,
29,59392,61,14.044474,32.4426,,
30,61440,62,14.158638,32.0323,15.208185,37.0000
31,63488,70,14.357229,28.8429,,
32,65536,66,14.179923,30.0606,,
33,67584,66,14.053707,29.9545,,
34,69632,66,14.411240,30.0152,,
35,71680,66,14.282407,29.7879,14.986103,45.7500
36,73728,68,14.311880,29.4853,,
37,75776,62,14.044218,32.1452,,
38,77824,61,14.034740,32.8033,,
39,79872,67,14.215270,29.3582,,
40,81920,69,14.255665,28.9420,14.580945,50.0000
41,83968,64,14.191182,31.7812,,
42,86016,64,14.120195,30.5625,,
43,88064,66,14.286247,29.8182,,
44,90112,64,14.066702,31.3594,,
45,92160,67,14.001480,29.8507,14.909673,50.0000
46,94208,71,14.284247,28.4930,,
47,96256,70,14.247463,28.2286,,
48,98304,64,14.216805,31.0625,,
49,100352,67,14.063840,29.2239,,
50,102400,70,14.250367,28.3857,14.982215,43.0000
51,104448,67,14.388951,30.0448,,
52,106496,66,14.279521,30.1667,,
53,108544,69,13.877421,28.5072,,
54,110592,64,14.047851,31.1406,,
55,112640,69,14.222371,28.8261,14.292684,42.5000
56,114688,65,14.326989,30.7385,,
57,116736,66,14.150129,30.3485,,
58,118784,68,14.119507,29.0588,,
59,120832,67,14.216978,29.3881,,
60,122880,70,14.126393,28.4571,14.481916,49.0000
61,124928,65,14.142862,30.8462,,
62,126976,65,14.250552,30.8615,,
63,129024,61,14.058888,32.5574,,
64,131072,57,14.240889,34.8596,,
65,133120,64,14.166290,31.0156,14.869563,44.5000
66,135168,69,14.475243,29.2609,,
67,137216,70,14.094848,28.3714,,
68,139264,64,13.913932,30.5938,,
69,141312,65,14.027948,30.8462,,
70,143360,67,14.214306,29.5075,14.093551,50.0000
71,145408,65,14.271046,30.8615,,
72,147456,65,14.307338,30.4615,,
73,149504,62,14.079296,32.3387,,
74,151552,61,14.016970,32.4918,,
75,153600,60,14.035033,33.1833,14.882377,50.0000
76,155648,66,14.146516,30.6212,,
77,157696,66,14.196237,30.0606,,
78,159744,62,14.228125,31.9677,,
79,161792,62,14.040073,32.0161,,
80,163840,69,14.047287,28.6667,14.547874,42.7500
81,165888,67,14.230290,30.0896,,
82,167936,66,14.103106,30.1061,,
83,169984,63,14.231172,31.2857,,
84,172032,66,14.173386,30.2879,,
85,174080,67,14.208740,29.6119,14.464422,45.0000
86,176128,69,14.210470,29.2609,,
87,178176,64,14.193752,30.9375,,
88,180224,65,14.079599,30.7077,,
89,182272,64,14.102713,30.6094,,
90,184320,62,14.165434,32.4355,14.304391,46.2500
91,186368,67,14.024922,30.2985,,
92,188416,68,14.394886,28.9265,,
93,190464,68,14.195538,28.6912,,
94,192512,66,14.387714,30.5152,,
95,194560,72,14.291432,27.5000,13.707946,49.0000
96,196608,69,14.292910,29.1014,,
97,198656,69,13.994509,28.6957,,
98,200704,75,14.325350,26.5200,,
99,202752,64,14.073465,30.7656,,
100,204800,67,14.066395,29.6269,13.883801,42.7500
101,206848,68,14.181503,29.6618,,
102,208896,62,14.145677,32.2419,,
103,210944,67,14.198444,29.3582,,
104,212992,71,14.188342,27.4085,,
105,215040,72,14.344218,27.9583,13.798619,42.0000
